name,sku,description,subcategory,product_category,colors,track_inventory,supplier,collection_name,location,quantity,unit,reorder_point,cost_price,selling_price,price_group,fabric_width,fabric_composition,fabric_grade,pattern_repeat_vertical,pattern_repeat_horizontal,max_length,rotation_allowance,image_url
"Warwick Mystere Velvet","WF-MST-NVY","Luxurious cotton velvet with rich pile","curtain_fabric","curtains","navy,charcoal,emerald","yes","Warwick Fabrics","Mystere Collection","Warehouse A","50","meters","15","42.50","85.00","","137","100% Cotton Velvet","Premium","0","0","200","no","https://example.com/warwick-mystere-navy.jpg"
"Zoffany Renaissance Damask","ZF-REN-GLD","Classic damask pattern for formal curtains","curtain_fabric","curtains","gold,silver,champagne","yes","Zoffany","Renaissance","Warehouse A","35","meters","10","68.00","136.00","GRID001","140","65% Cotton 35% Viscose","Premium","64","32","150","no","https://example.com/zoffany-damask.jpg"
"Clarke & Clarke Linen Sheer","CC-LIN-WHT","Natural linen sheer for light filtering","lining_fabric","curtains","white,ivory,natural","yes","Clarke & Clarke","Natura Sheers","Warehouse B","80","meters","20","22.50","45.00","","280","60% Linen 40% Polyester","Standard","0","0","500","yes",""
"Romo Satin Stripe Sheer","RM-SAT-IVY","Elegant satin stripe sheer","lining_fabric","curtains","ivory,cream,soft-white","yes","Romo","Satin Luxe","Warehouse B","60","meters","15","28.00","56.00","","300","100% Polyester","Premium","96","0","400","yes","https://example.com/romo-satin.jpg"
"Designers Guild Blockout","DG-BLK-GRY","Complete blockout for roller blinds","roller_fabric","roller_blinds","grey,charcoal,black,white","yes","Designers Guild","Urban Blockout","Warehouse C","120","meters","25","18.50","37.00","GRID002","250","100% Polyester PVC Backed","Commercial","0","0","600","yes","https://example.com/dg-blockout.jpg"
"Sunscreen 3% Openness","SS-3PCT-WHT","3% openness sunscreen fabric","roller_fabric","roller_blinds","white,pearl,silver","yes","Mermet","Sunscreen Range","Warehouse C","150","meters","30","15.00","30.00","","250","30% Polyester 70% PVC","Commercial","0","0","800","yes",""
"Awning Stripe Acrylic","AWN-STR-NVY","UV-resistant striped awning fabric","awning_fabric","other","navy-white,forest-sand,burgundy-cream","yes","Sunbrella","Outdoor Collection","Warehouse D","70","meters","15","32.00","68.00","","140","100% Solution-Dyed Acrylic","Commercial","0","0","300","no","https://example.com/awning-stripe.jpg"
"Mokum Chenille Upholstery","MK-CHN-TRQ","Durable chenille for upholstery","upholstery_fabric","other","turquoise,teal,ocean-blue","yes","Mokum","Artisan Weaves","Warehouse A","40","meters","10","52.00","104.00","","140","85% Polyester 15% Acrylic","Heavy Duty","12","12","180","no","https://example.com/mokum-chenille.jpg"
"Harlequin Roman Linen","HQ-ROM-SGE","Medium weight linen for roman blinds","curtain_fabric","roman_blinds","sage,moss,olive","yes","Harlequin","Neutral Tones","Warehouse B","55","meters","12","35.00","70.00","GRID003","137","100% Linen","Standard","48","0","250","no","https://example.com/harlequin-linen.jpg"
"Sanderson Jacquard Weave","SN-JAC-PLM","Intricate jacquard for roman blinds","curtain_fabric","roman_blinds","plum,burgundy,wine","yes","Sanderson","Heritage Jacquards","Warehouse B","30","meters","8","58.00","116.00","","140","70% Cotton 30% Polyester","Premium","80","40","120","no",""
"Contract Blackout PVC","CB-BLK-BLK","Heavy duty blackout for commercial","roller_fabric","roller_blinds","black,charcoal,navy","yes","Contract Fabrics Ltd","Contract Series","Warehouse C","200","meters","40","12.00","24.00","GRID002","270","100% PVC","Commercial","0","0","1000","yes","https://example.com/contract-blackout.jpg"
"Designer Silk Custom","DSC-001","Custom made-to-order silk","curtain_fabric","curtains","custom","no","Premium Silks","Bespoke","N/A","0","meters","0","95.00","180.00","","140","100% Silk","Luxury","0","0","500","no",""
"Cellular Honeycomb Light Filter","CEL-LF-WHT","Energy-efficient light filtering cellular","cellular","cellular_blinds","white,cream,pearl,light-grey","yes","Duette Fabrics","EcoSmart","Warehouse C","90","meters","20","24.00","48.00","GRID004","180","100% Polyester","Standard","0","0","400","yes","https://example.com/cellular-light.jpg"
"Vertical Fabric Vane","VRT-FAB-BEG","Fabric vane for vertical blinds","vertical_fabric","vertical_blinds","beige,taupe,sand,grey","yes","Vertical Solutions","Modern Vanes","Warehouse C","65","meters","15","14.00","28.00","","127","100% Polyester","Standard","0","0","500","yes",""
